generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
179,40,1.776492083252665,8.126496558675267,3.8181379626528917,13,12,15
180,40,1.8188318442115474,8.112916458944701,3.858843612577919,15,9,16
181,42,1.7165813889669153,8.131603311896475,3.9213306193890984,17,4,21
182,41,1.7870995145957504,7.991805390741179,3.9695141761276194,16,8,17
183,43,1.7414987723410895,8.170469920142672,3.9096257364739144,19,4,20
184,46,1.5892783282906884,8.177009639574118,3.935421905035246,14,12,20
185,41,2.0036321999547684,8.168748332367192,3.9583064843356834,17,11,13
186,46,1.6213826640888669,8.26202010354192,3.928629708973868,18,11,17
187,47,1.571154030878383,8.137801912581732,3.9516941163998354,15,10,22
188,44,1.449657447556847,8.250395904936916,3.915557777311807,16,8,20
189,40,1.4526270044050684,8.245613485331356,3.9086024715904495,15,7,18
190,39,1.829811966776361,8.080841556452949,3.99167301672407,17,4,18
191,43,1.4032296450778257,8.03667020718427,4.023434099711957,10,11,22
192,34,1.9344548345040247,8.05404397140839,3.9641154892161685,14,5,15
193,37,2.1006407410312695,8.072453734768061,3.963854666977991,20,6,11
194,48,1.7750089558672277,8.11807333058339,3.9359743967754386,15,13,20
195,46,1.8204758031749577,8.116962323159767,3.8874301494436425,15,13,18
196,45,1.8444901335650978,8.121139372312577,3.844868508059983,18,18,9
197,55,1.6009511498296156,8.137704502262933,3.8389153145005794,18,15,22
198,52,1.7599184391632292,8.029917727268359,3.8630764985920063,17,20,15
199,54,1.6979966697927418,8.025796508347268,3.889281131223498,16,20,18
200,56,1.3972786740002874,7.996177101194061,3.831783331801401,13,18,25
201,45,1.7001380882095285,8.000673815852222,3.876127542125038,17,10,18
202,48,1.5514576981339478,8.068229794492865,3.9333003192832465,16,10,22
203,45,1.606119481530607,8.074736114849692,3.9381255732654745,15,10,20
204,42,1.828439523049163,7.958216399307444,3.9896912206581185,14,15,13
205,48,1.4297367640421241,8.067995870140303,3.9567840077926655,11,12,25
206,37,1.6026603961603025,8.087402528506727,3.8811368530925017,14,8,15
207,37,1.61319329345515,8.189271263153135,3.816965264519483,16,2,19
208,38,1.5715531260748856,8.18425037170365,3.8694580552996247,14,7,17
209,37,1.8764954087987626,8.237508302072191,3.812572902823616,17,8,12
210,45,1.6782642964429846,8.098333949636533,3.8287571992645106,18,13,14
211,50,1.6630155681304657,8.159414947601244,3.7893667736015315,17,12,21
212,49,1.58528555890641,8.177300793415345,3.864192661002501,15,11,23
213,45,1.683854809972825,8.304646991684287,4.008592485809292,15,13,17
214,46,1.6668655776784995,8.375985701627856,4.025098696555855,17,7,22
215,43,1.5481683341702708,8.490664278452147,3.910683893185968,13,12,18
216,39,1.8356626525339488,8.356992110988111,3.930885825543155,17,10,12
217,47,1.6598029109868573,8.281774603005513,4.022741368927419,19,10,18
