generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
54,54,1.6775068631540853,1.0183527819781832,1.004052756349647,17,24,13
55,59,1.5920396712459361,1.0187789149630246,1.004057656786104,15,23,21
56,53,1.7389435725149678,1.0185535333107338,1.0029798254892726,17,17,19
57,54,1.6801610665024858,1.0210614173027386,1.0045761583979211,14,24,16
58,53,1.5367072320944237,1.020917868509803,1.001806338079379,16,23,14
59,56,1.6972100323167112,1.021065485552899,1.0006209754955693,16,23,17
60,56,1.496056279047681,1.0199076295775928,0.999564400802189,17,19,20
61,53,1.725940998392412,1.0189582836961832,1.000409778449564,19,17,17
62,56,1.5772616289464878,1.0200406986534967,1.0022551357342053,15,22,19
63,54,1.7176212220914375,1.021063728511429,1.0010948660270969,18,17,19
64,54,1.551084628234911,1.0207945573251311,1.0025595047635536,17,19,18
65,55,1.6796247551482808,1.019662111476118,1.0027359286100046,17,16,22
66,52,1.5632808224660677,1.0186658305622296,1.0014457260076406,16,17,19
67,51,1.7622170964014963,1.0164561738775173,1.0009868312957528,16,19,16
68,54,1.583821822402342,1.018327037992052,1.0027261502059894,16,25,13
69,58,1.55614636168189,1.0173249165063893,1.0021971073113964,16,22,20
70,56,1.6057806678522255,1.0179736813333173,1.000972584432972,20,17,19
71,59,1.5635971381968776,1.0191256269504991,1.0010511723675193,19,13,27
72,51,1.3723908537880223,1.016250433965789,1.000605423251562,13,8,30
73,36,1.8225759442988614,1.0174771666316516,1.0019442629796114,12,12,12
74,38,1.691548700469708,1.015711477053545,1.0006678731202607,12,11,15
75,36,2.0594132956689855,1.0186706775832783,1.001715841329237,16,12,8
76,48,1.6676423836390069,1.0189137503946732,1.0006340547235724,18,18,12
77,55,1.5574028603333878,1.0197536017005504,1.0017772078151352,15,20,20
78,52,1.620382637347466,1.019035920904644,1.0013949211053677,14,24,14
79,53,1.6020665817022306,1.0186226314040003,1.0045324607019623,15,24,14
80,56,1.6812528652288654,1.0180887738284699,1.0044803475609887,18,22,16
81,60,1.6641144387275508,1.0172394985921946,1.0029621946864675,14,25,21
82,54,1.5301102131950897,1.016401470115853,1.0003130408964414,14,22,18
83,52,1.7055592113700668,1.0181187489285437,1.003385947110163,16,16,20
84,50,1.7079127524224733,1.017573813118939,1.0052303887863803,19,14,17
85,53,1.7520881485541882,1.0173028772336135,1.0037247220923127,17,15,21
