generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
30,31,1.1975350808591387,0.2463060161287902,7.453794920787053,10,5,16
31,27,1.5689032643494434,0.242958637337257,7.448204430276778,8,7,12
32,27,1.3987231316511592,0.2471541822329503,6.986498504241185,10,5,12
33,28,1.2328302677412892,0.24428596426791552,7.288169236578514,7,7,14
34,23,1.7569941013196877,0.2485458911754662,7.406965537938655,11,3,9
35,27,1.7396990185306933,0.24946541218068466,7.480080004341793,11,5,11
36,32,1.7047048797902769,0.25010607836003756,7.2253741201417485,14,6,12
37,36,1.5165584333152473,0.2477095558268598,7.321032931319203,12,9,15
38,33,1.857804714629865,0.25018859904786006,7.288105975268846,15,8,10
39,40,1.5847005382078274,0.25038396032432575,7.435896663743786,11,13,16
40,36,1.4353225262239668,0.2587458401507386,7.446183219655215,10,9,17
41,32,1.8184344640671741,0.2640637822280804,6.95062904289611,16,8,8
42,41,1.408692790433407,0.269504603569975,6.945232846021751,12,7,22
43,34,1.88322138938003,0.27790325140381134,6.7948168973003025,14,4,16
44,34,1.47272934934431,0.27965744064261605,6.8602158494944065,9,7,18
45,29,1.9771993015393436,0.28855366301433133,6.781112284674858,12,6,11
46,34,1.8857648620053098,0.291455450458757,6.772753563915608,14,9,11
47,38,1.8369685555307695,0.29400999396437405,6.749439837893721,17,7,14
48,44,1.4835024327443749,0.2983074314526615,6.753544855070256,13,8,23
49,38,1.81435872272992,0.3051673273791165,6.745702174489459,15,10,13
50,43,1.6187827890989837,0.3068112329978959,6.698927140695727,14,8,21
51,37,1.6113048143838662,0.3045639075826811,6.634960809544169,14,10,13
52,39,1.3142693884050083,0.30758705586221036,6.623772880986483,14,2,23
53,34,1.6876049188402078,0.3126559590769571,6.574891918229794,15,5,14
54,36,1.519190835749556,0.31359185550115376,6.643604727535299,13,7,16
55,38,1.668449861799775,0.3083270010609694,6.688754364908147,13,5,20
56,35,1.736906879100307,0.3150551721652202,6.530373624288105,11,11,13
57,35,1.9309866302367924,0.3160493229345198,6.456754362046646,14,11,10
58,43,1.6601869434950196,0.3173569977896317,6.405274509539194,14,13,16
59,43,1.7116689884280873,0.3189535558754432,6.367076428459149,15,13,15
60,46,1.7253952978899725,0.31788268319182317,6.372961538226996,18,9,19
61,46,1.6691792699863173,0.3161928547676413,6.404228105851717,17,10,19
62,47,1.4984616139446774,0.3168882547277519,6.427728116174994,11,15,21
63,38,1.6697523238363245,0.3128442414283599,6.5094425564238785,13,5,20
64,36,1.902526700283531,0.3179325300675476,6.3632259069684025,16,6,14
65,43,1.7709397971557785,0.3212836076098064,6.313104122094747,16,15,12
66,50,1.5115473522934324,0.32068082209169746,6.27296771018521,16,13,21
67,46,1.7500338029259086,0.32289869252253267,6.172400167149918,19,14,13
68,52,1.3078615467678936,0.32362185669418636,6.13784686082079,9,15,28
69,35,1.6890909379748333,0.3281251366381803,6.2423457224349495,13,7,15
70,37,1.6099159570560182,0.3284949464184392,6.296604750063483,11,10,16
71,35,1.6698759463893895,0.3406707697342309,6.3791684307967955,15,5,15
72,38,1.9265147653604828,0.3414433054031539,6.393330008462916,16,8,14
73,43,1.7068338815874873,0.34309091858808255,6.3939233506379205,15,12,16
74,45,1.4308552855469452,0.34951265433749384,6.341618362287283,12,10,23
75,37,1.8244087400500657,0.35556726480038137,6.416939219252247,13,9,15
76,38,1.8891699193331786,0.3602400323559804,6.413974875384073,13,9,16
77,43,1.5964939293663079,0.36651496042616827,6.41149357368352,16,6,21
78,40,1.8362688904560376,0.362965461887476,6.3769913755350105,15,8,17
79,43,1.8175782274214578,0.36892981286116877,6.371034670847248,16,7,20
80,44,1.6418951932076402,0.36846565253901264,6.377997090104237,16,14,14
81,48,1.1985339662247705,0.3790841615299467,6.234956233080774,12,8,28
82,34,1.9770825158872745,0.39031087797379965,6.357355752828424,16,5,13
83,41,1.702752177809214,0.39420425082953253,6.346339601913134,14,13,14
84,43,1.5850252046841549,0.3940210348696941,6.277378527666068,12,11,20
85,36,2.0646326961462216,0.3935908479903152,6.2707326027259676,19,9,8
