generation,amount_creatures,average_energy,average_speed,average_sense
0,1,13.411296296295843,1.0,1.0
1,4,8.905428917535177,1.0117115826081298,0.9970201443327023
2,15,2.873122909780421,1.0124430777214624,0.9917414463349541
3,31,1.762253918452641,1.009970883218108,0.993128393444332
4,35,1.3780706799605065,1.0112161884107767,0.9931231754091103
5,30,1.5482701427530308,1.0049538168196366,0.9769188008528882
6,29,1.3414662795966417,1.0106072357947133,0.9808194101732476
7,24,2.037145111582648,1.0029411214736115,0.9902303099289965
8,34,1.5005944685722912,0.9964971676419917,1.0022996617526634
9,31,1.639512716479298,0.9901434988650166,1.0105158832319288
10,32,1.5377194719993739,0.9855930135771515,1.022397513943122
11,34,1.5273203720888713,0.9913361984908353,1.021368504313092
12,34,1.3789098566916138,0.9919819017980562,1.0246117322098474
13,31,1.7237846395543124,0.9907464386971225,1.0515318837016305
14,34,1.5193648852476667,0.993668427924688,1.0430595074326514
15,35,1.4831758725573714,0.9948123945094031,1.055533942475708
16,34,1.5725103884281164,1.0007480984691792,1.0472683833072143
17,35,1.5109802119839582,1.0005682789390504,1.0453485188001914
18,34,1.5466955863337246,0.994914173395401,1.0463061842270547
19,35,1.3058565993939628,1.0045885962058878,1.054825277917008
20,26,1.634125658522474,1.0348972275425363,1.0867968617666497
21,30,1.5232845492886142,1.0407474553318274,1.1031253864218735
22,30,1.659648101392438,1.0366232109745022,1.1004130780903858
23,34,1.4456315156584343,1.0381186900786972,1.1032821055031343
24,32,1.4381876765487425,1.0527446287438287,1.1178492815897474
25,33,1.4971900359149175,1.0509402336200466,1.1184647565585104
26,35,1.4829486576075765,1.062892504482028,1.1135161665630162
27,37,1.284281421682375,1.0612233277507641,1.123759721360845
28,35,1.2735967282890954,1.0683813812754221,1.1346099514247874
29,30,1.6592508497938518,1.0789318926863192,1.128895375279973
30,37,1.2231793359151601,1.0744914158685752,1.118692772358191
31,28,1.6192176252034913,1.060588316826304,1.1419191908918647
32,29,1.5718861284101353,1.068503272230758,1.1349053578717994
33,33,1.4165592411416656,1.0737543265787826,1.1408363441788922
34,35,1.3111347627132233,1.0857802746771654,1.1647133944352195
35,33,1.4645322974450927,1.087249252131281,1.155262387159697
36,33,1.4269216316021296,1.1037790471305213,1.1444960599158855
37,33,1.3256497021695264,1.1184905233501188,1.1485295344638877
38,31,1.3350239091419163,1.1117388675513677,1.1379078214612182
39,29,1.49651159787802,1.1266990721151415,1.1496064595536675
40,33,1.2210238416215338,1.1330176947148842,1.163066294050835
41,28,1.5605424612581467,1.1326850434526445,1.1872420014350629
42,31,1.4041980682315691,1.1340695031431776,1.1816864449808626
43,29,1.5136683675406206,1.135423516004763,1.1871614191549325
44,30,1.3975692080616708,1.1472162397027637,1.187266958230036
45,30,1.4910699401452177,1.1472210190069636,1.208290773046515
46,32,1.2240193258167849,1.1390312879981563,1.233691551278053
47,29,1.6619508481687297,1.1536058077659257,1.2249071207738236
48,35,1.413535384568166,1.1691021567387985,1.2103195534660398
49,36,1.2268574673705155,1.1912803926446183,1.2123594641165552
50,32,1.255560379838831,1.19585173865164,1.2100264936508962
51,30,1.3771237396217773,1.2104555716839405,1.2200663352723826
52,29,1.5489405145998734,1.2269041402125473,1.203863680154999
53,32,1.271988418541588,1.2158276852768501,1.207011542956863
54,27,1.6505794018492816,1.2248268541621077,1.1982935955575453
55,35,1.2428367663828634,1.2472773458209299,1.2143371605618565
56,30,1.3960655546369807,1.278636285996827,1.2183153248442042
57,33,1.2022142479458475,1.3055098336151063,1.2224414138214237
